Textos_espanol,sdg
"Argumenta en este amplio documento que la legitimidad del derecho internacional depende del principio de que los pactos deben respetarse, revisando las cuestiones de la autopreservaciÃ³n, la proporcionalidad y los derechos humanos en relaciÃ³n con esto. Se centra en la guerra econÃ³mica contra el terrorismo por parte de EEUU de forma preeminente, tal y como se expresa en la Ley PATRIOT y la Ley de Poderes EconÃ³micos de Emergencia Internacional y la Ley Antiterrorista y de Pena de Muerte Efectiva. Concluye que la Patriot Act y la Homeland Security Act otorgan al Ejecutivo poderes extraordinarios y bÃ©licos: pero las guerras tienen fin, mientras que el terrorismo no. Examina el papel de los tribunales federales de EEUU en el contexto de la seguridad nacional, la proporcionalidad y los derechos humanos, y los considera deficientes, informa de casos concretos relativos a los movimientos de resistencia iranÃes y su estatus en lo que respecta al terrorismo, y de los casos Bajkajian, Austin y Alexander en lo que respecta a la proporcionalidad. ",16
"Pueden permitir un seguimiento puntual del despliegue de infraestructuras de energía limpia. También pueden ayudar al gobierno a hacer un seguimiento de la tasa de éxito de los proyectos de energía limpia, lo que puede orientar el apoyo futuro a las tecnologías de energía limpia, así como reforzar el argumento comercial para su presentación a los bancos nacionales. Por último, al igual que en el caso del despliegue de la generación, la expansión de la red tendrá que ser supervisada y evaluada a lo largo del tiempo para garantizar que la red sea capaz de dar cabida a una cuota cada vez mayor de generación de electricidad limpia. ",7
"La emisión de C02 aumentaría un 0,9% si se aplica el mix de generación del Escenario 45015. Estos aumentos son desproporcionadamente modestos en comparación con el número de personas beneficiadas (AIE, 2009b). Estos apagones suelen deberse a cortes de carga, una práctica frecuente para compensar las deficiencias de generación cortando parcialmente parte de la carga a los usuarios. La Tabla 4 confirma que los cortes de electricidad son más frecuentes en los países no pertenecientes a la OCDE y perjudican la producción económica. El impacto económico subraya que cualquier inversión para reforzar el sistema eléctrico y aumentar la cantidad de electricidad para uso productivo aumenta los ingresos de las empresas. Así, la asequibilidad de los servicios eléctricos también aumenta y asegura la viabilidad financiera del servicio (AGEEC, 2010). ",7
"La Ley de Derechos Civiles de 1964 es uno de los mayores logros de la historia de Estados Unidos. Aunque la ley ilegalizó la discriminación, su eficacia, especialmente la del Título VII relativo al ámbito laboral, sigue siendo muy discutida. Los autores sostienen que los cambios legales sólo producen integración racial en el lugar de trabajo en la medida en que existen presiones políticas adicionales sobre las empresas para que eliminen la segregación. Examinan la fluctuación de la presión política nacional para hacer cumplir la ley de igualdad de oportunidades en el empleo y los mandatos de acción afirmativa como influencias clave en el ritmo de la desegregación racial en el lugar de trabajo y exploran las trayectorias de la integración de blancos y negros en los lugares de trabajo de EE.UU. desde 1966. Sus resultados muestran que, aunque las presiones federales y estatales en favor de la igualdad de oportunidades en el empleo tuvieron éxitos iniciales en la reducción de la segregación racial en los lugares de trabajo, se ha avanzado poco desde principios de la década de 1980. Llegan a la conclusión de que la desegregación racial es un proceso en curso mediado políticamente, no un resultado natural o inevitable de las... ",16
"Este artículo explora las manifestaciones de corrupción entre los funcionarios locales y los jueces reales que ejercían la autoridad en nombre del rey. Explora las complejas y a menudo contradictorias percepciones de la mala praxis oficial entre estos hombres. El rey, en particular, comprendía el peligro de que sus representantes mancillaran la reputación de la corona. Sin embargo, las medidas adoptadas para combatir la corrupción fueron en su mayoría ineficaces y a menudo resultaron ser retórica vacía. El debate muestra cómo las nuevas nociones de servicio público y responsabilidad chocaban con las antiguas formas de organización social y política basadas en el señorío y la jerarquía. TambiÃ©n sugiere que fue al abordar y finalmente atajar la corrupciÃ³n donde pueden encontrarse los orÃgenes de un ""servicio civil"". ",16
"Esta situación se complica aún más por el bajísimo índice de recaudación de las tasas de consumo de agua, que para los hogares oscila entre el 12% y el 80% de la factura enviada por la empresa de suministro de agua, con una media nacional del 45% (Capítulo 5). La responsabilidad del control de la calidad del agua potable recae en el Departamento de Seguridad Alimentaria, Veterinaria y Protección Fitosanitaria del Ministerio de Agricultura, que organiza licitaciones para el análisis de la calidad del agua potable en laboratorios acreditados. En caso de situación de emergencia, los resultados se comunican a los municipios y, en caso de riesgos sanitarios, al centro público de enfermedades del Ministerio de Sanidad, Trabajo y Protección Social (MHLSP) e incluso al Consejo de Ministros cuando es necesario. ",6
"Sinopsis Dado que las mujeres reciben sistemáticamente menos atención que los hombres en la consolidación de la paz y que el análisis de género rara vez informa las estrategias relacionadas con la transformación de conflictos, este artículo examina cómo un proyecto PEACE III de la Unión Europea (UE), titulado Mujeres y Consolidación de la Paz: Sharing the Learning, aborda esta carencia. Cuestiona la naturaleza jerárquica del diálogo sobre la consolidación de la paz en una sociedad en situación de posconflicto y sugiere cómo puede cambiarse. Muestra cÃ³mo los activistas y los responsables polÃticos pueden comprometerse mÃ¡s en torno a la resoluciÃ³n 1325 del Consejo de Seguridad de las Naciones Unidas sobre la mujer, la paz y la seguridad, y sostiene que si los funcionarios gubernamentales hubieran adoptado un sistema de formulaciÃ³n de polÃticas mÃ¡s contextualizado y ascendente, podrÃan haber engendrado una transformaciÃ³n social dentro de los procesos mÃ¡s amplios de transiciÃ³n posconflicto. 1 Las conclusiones del proyecto se enmarcan en el contexto de los discursos dominantes sobre la paz y la seguridad y deberÃan ser relevantes para quienes participan en la aplicaciÃ³n de la resoluciÃ³n 1325 del Consejo de Seguridad de las Naciones Unidas en otras sociedades en situaciÃ³n de posconflicto. ",16
"Dado que el agua es un recurso local con fuertes características territoriales, la explicación de la participación de los agentes subnacionales reside principalmente en teorías relacionadas con los bienes públicos locales y la necesidad de mecanismos descentralizados para lograr una asignación óptima. Pero en la práctica, la aplicación de un sistema óptimo de asignación del agua varía mucho de un país a otro y rara vez implica una delegación total de la responsabilidad en los niveles inferiores de gobierno. La gestión del agua suele ser una responsabilidad compartida entre los distintos niveles de gobierno.",6
"Este capítulo identifica y considera el impacto de los derechos humanos sobre la religión y las organizaciones religiosas, incluidas las organizaciones benéficas religiosas, basándose en la jurisprudencia derivada de: la Ley de Igualdad de 2010, el artículo 14 del Convenio Europeo y el derecho a no sufrir discriminación por motivos como la religión, el artículo 9 y el derecho a la libertad de pensamiento, conciencia y religión, el artículo 11 y el derecho a la libertad de asociación, el artículo 18 del Pacto Internacional de Derechos Civiles y Políticos, y el artículo 2 del Protocolo 1.",16
"En muchos paÃses han surgido nuevos tribunales especializados, tanto en respuesta a la presiÃ³n internacional en favor de una reforma legal como por propia elecciÃ³n de los Estados. Entre estos tribunales se encuentran los especializados en la lucha contra la corrupciÃ³n. El Tribunal Indonesio de Delitos de CorrupciÃ³n de Yakarta, establecido originalmente por ley en 2002, adquiriÃ³ prominencia y notoriedad por su tasa de condena cercana al 100% en mÃ¡s de 250 casos. Sin embargo, en 2010, la competencia exclusiva sobre los casos de corrupción fue ""descentralizada"" a tribunales especiales de corrupción establecidos en las 34 capitales provinciales de Indonesia. La prudencia de esta medida ha sido muy criticada, y se ha cuestionado si estos tribunales regionales han mantenido la profesionalidad del tribunal Ãºnico de Yakarta. Este documento examina la razÃ³n de ser de la creaciÃ³n de estos tribunales y si las tasas de condena son indicadores Ãºtiles de su rendimiento.",16
"Partiendo de la base de que la conectividad entre los Estados y el tratado es un requisito previo para la traducción de impacto, este capítulo introduce los conceptos de conectividad de principio y sustantiva. El primero estÃ¡ compuesto por la ratificaciÃ³n de la ConvenciÃ³n sobre la EliminaciÃ³n de Todas las Formas de DiscriminaciÃ³n contra la Mujer (CEDAW), las reservas y la ratificaciÃ³n del Protocolo Facultativo (OP). El segundo estÃ¡ compuesto por los hÃ¡bitos de presentaciÃ³n de informes de los Estados Partes y la frecuencia de diÃ¡logo con el ComitÃ©. Este capÃtulo se pregunta si los niveles de conectividad dependen de alguna de las siguientes caracterÃsticas: pertenencia a una determinada regiÃ³n del mundo, tipo de rÃ©gimen y nivel de igualdad de gÃ©nero de facto a nivel nacional. El capítulo revela que muchos más Estados han alcanzado un alto nivel de conectividad de principios que de conectividad sustantiva significativa. Esto se debe principalmente a que la disciplina de presentación de informes de la mayoría de los Estados Partes no es óptima.",7
"En las últimas décadas se ha producido una enorme explosión en el uso de proveedores de seguridad privada por parte de los gobiernos, la industria, la ONU y las organizaciones humanitarias. Mientras tanto, la rendición de cuentas de estas empresas y de su personal por violaciones de los derechos humanos no ha seguido el mismo ritmo. Algunos investigadores sugieren que los proveedores de seguridad privada funcionan en la zona gris del derecho internacional público, pero en este documento sugerimos que la regulación internacional existe y que el soft low internacional podría transformarse en hard law.",16
"Este documento evalÃºa hasta quÃ© punto las soluciones del Derecho civil neerlandÃ©s complementan y aumentan los objetivos de polÃtica pÃºblica que subyacen a la penalizaciÃ³n de la corrupciÃ³n en las transacciones comerciales internacionales. Con este fin, explora las consecuencias contractuales y extracontractuales de los contratos manchados por la corrupción, así como las normas de Derecho internacional privado que entran en juego en relación con dichos contratos ""corruptos"" en el Derecho neerlandés.",16
"Es probable que los costes asociados a la pérdida continuada de biodiversidad sean muy importantes, pero sus repercusiones (en términos de pérdida de bienestar) no se reflejan en los precios de mercado. Obsérvese que el número de personas que carecen de acceso al agua potable es superior al de las que carecen de acceso a un suministro básico de agua. Otros casos de contaminación, más episódicos, afectan al aluminio (causante de enfermedades neurodegenerativas) y al plomo (enfermedades endémicas del sistema nervioso).",6
"Esta flexibilidad significa que no todo el valor de una central queda necesariamente varado si cambian las condiciones reguladoras o econÃ³micas. Sin embargo, en general, al menos una parte del valor del activo puede estar en riesgo. Sin embargo, la economÃa polÃtica del capital bloqueado es compleja. Aunque todas las empresas energÃ©ticas saben que en algÃºn momento tendrÃ¡n que desviarse de la trayectoria habitual, los plazos para cambiar la trayectoria de las emisiones (especialmente en un paÃs o rÃ©gimen regulador determinado) son bastante inciertos.",7
"Como se muestra en el capítulo anterior, las sumas implicadas pueden ser considerables, alcanzando hasta el 50% de los costes de inversión a nivel de planta para las nuevas inversiones en generación de energía, en particular para la eólica marina, que sufre los elevados costes de conexión a la red. No obstante, la cuestión puede tratarse desde un punto de vista institucional con los marcos reguladores existentes. Partiendo de los capítulos anteriores, de carácter más técnico, este capítulo examina la idoneidad de las disposiciones actuales y las futuras evoluciones necesarias en los sectores eléctricos de los países de la OCDE para optimizar la prestación de ""servicios de flexibilidad"" ante la elevada volatilidad de la carga y la gran cantidad de energías renovables variables.",7
"La investigación sobre las dimensiones deliberativas de la democracia ha sido notablemente productiva en la última década, dando lugar a nuevos conocimientos sobre cómo funciona la deliberación en los numerosos foros políticos que constituyen las democracias contemporáneas. Las teorías normativas de la democracia deliberativa han justificado y, en ocasiones, inspirado una amplia gama de nuevos desarrollos institucionales, desde jurados ciudadanos, reuniones de partes interesadas, sondeos deliberativos y foros deliberativos hasta la legislación sobre libertad de información que potencia la deliberación pública (Chambers, 2003, Gastil y Levine, 2005, Parkinson, 2006). La afirmación clave de las teorías deliberativas de la democracia es sencilla y convincente: los enfoques deliberativos de las decisiones colectivas en condiciones de conflicto producen mejores decisiones que las resultantes de medios alternativos de hacer política: la coerción, la deferencia tradicional o los mercados. Es probable que las decisiones resultantes de la deliberación sean más legítimas, más razonables, más informadas, más eficaces y más viables políticamente (Cohen, 1996, Habermas, 1996, Gutmann y Thompson, 1996, Bohman, 1998).",16
"En Australia no hay un gran impulso hacia una ley estatal o nacional de derechos humanos, y pocas personas, aparte de los abogados, la reclaman. Una ley de derechos humanos no es un bien obvio, ni obviamente necesario. Un análisis de la sociedad australiana contemporánea para establecer la necesidad y la forma de una ley de derechos humanos. Sólo entonces es apropiada una campaña para su adopción. Los abogados que abogan por una ley de derechos humanos deben demostrar humildad profesional, deferencia hacia otros profesionales y una aguda apreciación de que su lugar más eficaz en un movimiento para el cambio social puede ser apoyar la movilización de una coalición mucho más amplia de defensores y ciudadanos.",16
"El movimiento moderno de estudios jurídicos empíricos tiene antecedentes bien conocidos en las tradiciones de derecho y sociedad y derecho y economía de la segunda mitad del siglo XX. Menos conocido es el conjunto de investigaciones empíricas sobre fenómenos jurídicos del período anterior a la Segunda Guerra Mundial. Este artículo es un extenso ensayo bibliográfico que examina la investigación jurídica empírica en lengua inglesa desde aproximadamente 1940 y antes. El artículo se organiza en torno a los temas de la investigación: justicia penal, justicia civil (estudios generales de litigios civiles, litigios e indemnizaciones por accidentes de automóvil, divorcio, demandas de menor cuantía, jurisdicción y procedimiento, jurados civiles), deuda y quiebra, banca, tribunales de apelación, necesidades jurídicas, profesión jurídica (incluida la educación jurídica), y dotación y selección de personal judicial. Acompaña al artículo una extensa bibliografía de artículos de investigación, libros e informes.",16
"Regular los riesgos ante la incertidumbre científica plantea un reto particular a los responsables políticos. Estos problemas se amplifican cuando las decisiones se adoptan en un marco de gobernanza supranacional a varios niveles. La regulación de los organismos modificados genéticamente (OMG) en la Unión Europea constituye una cuestión especialmente destacada de gobernanza del riesgo en un escenario multilateral, ya que el tema es políticamente muy visible y la toma de decisiones es lenta y controvertida. Además, como la autoridad está dispersa entre múltiples actores, la gobernanza europea del riesgo necesita mecanismos adecuados que garanticen que los responsables de la toma de decisiones justifiquen y den cuenta de su comportamiento. Mientras que los aspectos de legitimidad de la gobernanza de los OGM han sido ampliamente examinados, las relaciones de rendición de cuentas en el ámbito de la gobernanza del riesgo de los OGM han sido hasta ahora escasamente exploradas. Por ello, este documento analiza la cuestión de a quién se puede exigir responsabilidades en el marco del complejo sistema de gobernanza supranacional del riesgo. En él se afirma que la mera adhesión de los agentes a los pr...",16
"La base convencional de la mayoría de los derechos humanos internacionales, combinada con el dualismo de los sistemas jurídicos del common law, hace que a menudo se considere a los derechos humanos internacionales como uno de los reductos más arraigados del modelo tradicional. En muchas jurisdicciones de common law, los casos menos controvertidos de recurso interno tunortodoxo a los derechos humanos internacionales se encuentran en la adjudicación constitucional. El ejemplo más explícito de esta relación distintiva entre las normas internacionales de derechos humanos y las constituciones de posguerra se encuentra en la Constitución sudafricana. El ejemplo más explícito de esta relación distintiva entre las normas internacionales de derechos humanos y las constituciones de posguerra se encuentra en la Constitución sudafricana. Los derechos humanos internacionales expresados en diversos tratados pueden, mediante el acto de ratificación, llegar a ejercer un efecto interno obligatorio. Sin embargo, a veces los tribunales también insisten en la relevancia de las normas internacionales de derechos humanos por otra razón. Palabras clave: adjudicación constitucional, derechos humanos internacionales, ratificación, no ortodoxo",16
"Este artículo examina los retrasos en el sistema de justicia penal. El tiempo es la medida de la justicia. Cuanto más tarda un caso, menos posibilidades hay de corregir fallos técnicos en los procedimientos administrativos o de localizar testigos, otras víctimas o posibles agresores. Si es demasiado corto, se corre el riesgo de contravenir derechos consagrados en la Constitución brasileña y en las leyes penales, produciendo así injusticia en lugar de justicia. Para los ciudadanos comunes, el tiempo es el lugar de la memoria colectiva. Cuando pueden establecer vínculos entre el delito cometido y la aplicación de sanciones penales, sienten que se ha aplicado justicia, lo que confiere credibilidad a las instituciones responsables de la justicia retributiva. Este artículo explora estas afirmaciones a través de un estudio empírico de las investigaciones penales realizadas para establecer la responsabilidad penal de los linchamientos perpetrados en el estado de Sao Paulo entre 1980 y 1989.",16
"Comentario, con referencia a la jurisprudencia britÃ¡nica y estadounidense, considerando el principio jurÃdico internacional que prohÃbe la tortura y el uso probatorio de los frutos de la tortura tal y como se establece en el Convenio Europeo de Derechos Humanos y los enfoques para proteger a la sociedad en el contexto del riesgo real de terrorismo. Artículo del Dr. Kern Alexander publicado en Amicus Curiae - Journal of the Society for Advanced Legal Studies at the Institute of Advanced Legal Studies. La revista es producida por SALS en el IALS (Institute of Advanced Legal Studies, School of Advanced Study, University of London). ",16
"Las revelaciones relativas a la vigilancia mundial de los datos de las comunicaciones masivas han ilustrado claramente la escasez de regulación jurídica en este ámbito. La vigilancia afecta casi inevitablemente al derecho a la intimidad, pero es tal la naturaleza notoriamente nebulosa de la intimidad, especialmente a escala internacional, que no proporciona suficientes salvaguardias contra los abusos estatales de la capacidad de vigilancia. Ante las preocupaciones por la seguridad nacional, la privacidad parece quedar relegada rutinariamente a ser un obstáculo incómodo. La capacidad de Estados Unidos y del Reino Unido para llevar a cabo una vigilancia a enorme escala ha puesto de manifiesto no sólo las insuficiencias de sus propios marcos normativos nacionales, sino también la facilidad con la que, a través de la moderna tecnología de las comunicaciones, puede llevarse a cabo una vigilancia mundial sin restricciones. En este artículo se analizan estas cuestiones y se examina el marco normativo internacional que debería aplicarse a la vigilancia para que se lleve a cabo de acuerdo con el Estado de Derecho y la demo... ",16
"Este ensayo analiza el libro de Dennis Baker Not Quite Supreme: The Courts and Coordinate Constitutional Interpretation (McGill-Queen's University Press, 2010). El libro de Baker deberÃa sorprender a aquellos juristas demasiado interesados en descartar el constitucionalismo coordinado como irrelevante o mal orientado. Aunque la pretensiÃ³n Ãºltima de Baker puede quedarse corta, su libro ofrece un relato intrigante de la separaciÃ³n constitucional de poderes en CanadÃ¡ e insinÃºa las posibilidades productivas de la interpretaciÃ³n coordinada. Puede que Not Quite Supreme de Baker no convenza del todo, pero contribuye con ideas importantes al actual debate entre disciplinas sobre la democracia, la revisión judicial y la Carta. ",16
"La PPA encargó también a KEMA International en 2012 un estudio para cuantificar las pérdidas de energía del sistema eléctrico en las empresas de servicios públicos del Pacífico Sur, que incluía a todos los pequeños Estados de la Commonwealth del Pacífico excepto Vanuatu (PPA y KEMA 2012). Tras el recientemente finalizado Programa de Etiquetado y Normalización de Electrodomésticos del Pacífico, cuyo objetivo era aumentar la importación y venta de electrodomésticos más eficientes desde el punto de vista energético, se está aplicando la Estrategia de Iluminación Eficiente del Pacífico (PELS, por sus siglas en inglés) para contribuir a la transición del Pacífico hacia una iluminación de alta eficiencia y respetuosa con el medio ambiente de aquí a 2020. El ahorro de electricidad previsto es de mÃ¡s de 2.100 gigavatios hora, con un ahorro asociado de importaciÃ³n de combustible de unos 720 millones de litros y un ahorro de emisiones de entre 1,9 y 2,0 toneladas mÃ©tricas equivalentes de diÃ³xido de carbono. ",7
"Este trabajo realiza un anÃ¡lisis comparativo de la sentencia de juicios que cuestionaron la validez de leyes que garantizan la impunidad de los sectores involucrados con la represiÃ³n polÃtica durante las dictaduras de Seguridad Nacional. Para la comparaciÃ³n, fueron seleccionados dos casos para anÃ¡lisis: el ""Caso SimÃ³n"", juzgado en junio de 2005 por la Corte Suprema de Justicia de Argentina, y el ADPFÂ 153, juzgado en abril de 2010 por el Supremo Tribunal Federal de Brasil. Se comparan las decisiones y, despuÃ©s, se intenta identificar quÃ© las explica, verificando su conexiÃ³n con las polÃticas de memoria que se han implementado en cada contexto. ",16
"Las reformas legales en toda AmÃ©rica Latina han aumentado la transparencia del proceso de justicia penal y mejorado los derechos de los acusados. Muchos estudiosos conjeturan que dichas reformas tambiÃ©n mejoran la ""buena gobernanza"" y, por extensiÃ³n, el desarrollo econÃ³mico. ParadÃ³jicamente, a pesar de tales afirmaciones, existen pocos estudios cuantitativos que examinen el efecto preciso de dichas reformas legales. Utilizando conjuntos de datos originales, se comprueba el impacto de las reformas penales de Chile sobre los derechos de los delincuentes y el desarrollo econÃ³mico. Los resultados muestran que la reforma penal chilena ha mejorado los derechos de los acusados al reducir el porcentaje de personas encarceladas. La reforma ha tenido un efecto positivo en la actividad económica regional, pero poco efecto en la inversión extranjera directa a nivel regional. ",16
"La regulación del sector energético está controlada por la Comisión de Servicios Públicos (PUC). Sin embargo, aÃºn no se ha explotado ningÃºn emplazamiento a gran escala, y el proyecto de las cataratas de Amaila sigue en estudio (GEA 2015b, The Economist 2013). La energía solar se considera una opción viable para llevar electricidad más barata al interior de Guyana. ",7
"Aunque las declaraciones del Consejo de Seguridad de las Naciones Unidas y del Secretario General demuestran que la degradación medioambiental se acepta como una posible amenaza no militar para la paz y la seguridad internacionales, ninguno de los documentos pertinentes procede a considerar cómo podría responder el Consejo de Seguridad a estas nuevas amenazas y fuentes de inestabilidad y conflicto. Este artículo examina y evalúa una serie de opciones de que dispone el Consejo de Seguridad en caso de que sus miembros decidan abordar esta agenda con más detalle. Sostiene que la Carta de las Naciones Unidas, el derecho internacional humanitario y los precedentes operativos proporcionan un mandato ambiental al Consejo de Seguridad. Sin embargo, lo más probable es que cualquier autorización de uso de la fuerza se limite a los crímenes de guerra contra el medio ambiente. Un papel medioambiental más importante para el Consejo de Seguridad reside en la diplomacia preventiva, la resolución de conflictos y la reconstrucción postconflicto. ",16
